timestamp,Latitude,Longitude,ax,ay,az
1708513066.47,10.87601662,106.8015594,-0.22,0.19,9.92
1708513066.62,10.87601662,106.8015594,-1.43,0.11,10.08
1708513066.7,10.87601662,106.8015594,0.38,0.19,10.5
1708513066.78,10.87601662,106.8015594,0.56,-0.02,9.86
1708513066.86,10.87602234,106.8015671,-0.74,0.59,10.17
1708513067.28,10.87602234,106.8015671,1.01,0.19,9.98
1708513067.46,10.87602234,106.8015671,0.9,0.03,10.01
1708513067.61,10.87602234,106.8015671,-0.22,-0.23,9.71
1708513067.7,10.87602234,106.8015671,-0.67,0.52,10.48
1708513067.78,10.87602234,106.8015671,1.03,-0.38,10.26
1708513067.86,10.87602901,106.8015594,-0.62,0.27,9.52
1708513068.3,10.87602901,106.8015594,0.12,-0.27,10.41
1708513068.45,10.87602901,106.8015594,0.89,-0.45,10.22
1708513068.64,10.87602901,106.8015594,0.4,-0.49,9.88
1708513068.72,10.87602901,106.8015594,-1.03,0.07,10.39
1708513068.8,10.87602901,106.8015594,1.1,-0.54,9.33
1708513068.89,10.87605095,106.8015518,-0.91,0.0,10.49
1708513069.3,10.87605095,106.8015518,0.46,-0.31,9.69
1708513069.46,10.87605095,106.8015518,-1.07,0.0,9.51
1708513069.62,10.87605095,106.8015518,-1.05,-0.97,10.16
1708513069.72,10.87605095,106.8015518,-0.28,0.02,10.59
1708513069.8,10.87605095,106.8015518,-0.97,-0.24,11.08
1708513069.88,10.87607765,106.8015518,-1.04,0.1,10.64
1708513070.3,10.87607765,106.8015518,-1.07,0.01,10.83
1708513070.46,10.87607765,106.8015518,0.95,-0.22,9.82
1708513070.63,10.87607765,106.8015518,-0.44,-0.05,10.65
1708513070.71,10.87607765,106.8015519,-1.69,-0.18,9.93
1708513070.8,10.87607765,106.8015518,-1.29,-0.89,7.04
1708513070.88,10.87610435,106.8015594,0.1,0.56,11.2
1708513071.3,10.87610435,106.8015594,-0.39,-0.76,8.93
1708513071.45,10.87610435,106.8015594,-1.61,-0.9,9.69
1708513071.62,10.87610435,106.8015594,0.02,-0.18,10.81
1708513071.71,10.87610435,106.8015594,0.29,0.48,10.25
1708513071.79,10.87610435,106.8015594,-1.37,-0.4,10.58
1708513071.87,10.87614346,106.8015671,-0.18,0.11,10.78
1708513072.3,10.87614346,106.8015671,-0.98,-0.52,9.21
1708513072.44,10.87614346,106.8015671,-0.25,-0.31,8.76
1708513072.61,10.87614346,106.8015671,-3.13,-0.46,6.78
1708513072.69,10.87614346,106.8015671,-0.63,0.22,10.3
1708513072.78,10.87614346,106.8015671,-0.08,0.11,10.1
1708513072.86,10.87618923,106.8015671,-1.39,0.12,10.34
1708513073.3,10.87618923,106.8015671,-1.4,-0.51,9.24
1708513073.45,10.87618923,106.8015671,-1.3,0.85,9.78
1708513073.63,10.87618923,106.8015671,0.3,-0.02,9.7
1708513073.71,10.87618923,106.8015671,-0.08,-0.41,9.22
1708513073.79,10.87618923,106.8015671,-1.58,-0.53,9.37
1708513073.87,10.87623119,106.8015594,-1.92,0.77,10.45
1708513074.29,10.87623119,106.8015594,0.21,-0.2,10.41
1708513074.44,10.87623119,106.8015594,-1.34,0.49,10.14
1708513074.63,10.87623119,106.8015594,-2.42,-1.86,9.23
1708513074.71,10.87623119,106.8015594,-1.6,-0.02,9.36
1708513074.8,10.87623119,106.8015594,-0.38,-0.15,11.86
1708513074.88,10.8762722,106.8015671,-1.02,-0.27,9.26
1708513075.3,10.8762722,106.8015671,-2.45,0.83,9.8
1708513075.44,10.8762722,106.8015671,-2.01,-0.39,10.99
1708513075.63,10.8762722,106.8015671,-0.49,-1.08,9.42
1708513075.71,10.8762722,106.8015671,-1.05,-0.42,9.81
1708513075.8,10.8762722,106.8015671,-1.62,1.02,10.52
1708513075.88,10.87631416,106.8015747,-2.69,-1.34,4.99
1708513076.29,10.87631416,106.8015747,-1.33,-0.79,8.86
1708513076.44,10.87631416,106.8015747,-0.95,0.73,13.08
1708513076.62,10.87631416,106.8015747,-2.38,-1.52,8.77
1708513076.7,10.87631416,106.8015747,-1.75,0.33,9.55
1708513076.79,10.87631416,106.8015747,-0.69,0.41,12.26
1708513076.87,10.87635422,106.80159,0.41,0.15,17.84
1708513077.3,10.87635422,106.80159,-0.68,0.01,10.2
1708513077.44,10.87635422,106.80159,-1.82,0.24,10.83
1708513077.62,10.87635422,106.80159,-0.42,-0.67,9.02
1708513077.71,10.87635422,106.80159,-1.87,0.15,9.91
1708513077.78,10.87635422,106.80159,-1.06,-1.79,6.14
1708513077.88,10.8763895,106.8016129,-1.21,-0.06,8.93
1708513078.3,10.8763895,106.8016129,-2.37,-0.11,11.55
1708513078.44,10.8763895,106.8016129,-0.34,0.39,10.05
1708513078.62,10.8763895,106.8016129,0.64,-0.09,14.41
1708513078.7,10.8763895,106.8016129,-3.38,-0.65,7.81
1708513078.8,10.8763895,106.8016129,-1.26,0.92,11.1
1708513078.88,10.87641811,106.8016434,-0.05,0.25,10.6
1708513079.3,10.87641811,106.8016434,-1.85,-0.85,8.49
1708513079.43,10.87641811,106.8016434,-1.52,-0.54,11.34
1708513079.62,10.87641811,106.8016434,-1.39,0.07,10.71
1708513079.71,10.87641811,106.8016434,-0.98,0.18,9.59
1708513079.79,10.87641811,106.8016434,-3.04,-0.41,9.99
1708513079.87,10.87644482,106.8016663,-2.51,0.39,10.87
1708513080.3,10.87644482,106.8016663,-0.81,-0.77,9.11
1708513080.43,10.87644482,106.8016663,-1.68,-0.38,9.08
1708513080.62,10.87644482,106.8016663,-0.92,-0.16,10.4
1708513080.72,10.87644482,106.8016663,-0.76,-0.71,9.5
1708513080.8,10.87644482,106.8016663,-2.11,-0.47,10.54
1708513080.88,10.87647247,106.8016663,-1.08,-0.57,10.24
1708513081.29,10.87647247,106.8016663,-2.1,-0.67,10.34
1708513081.43,10.87647247,106.8016663,-6.99,0.95,110.62
1708513081.63,10.87647247,106.8016663,-0.15,-0.8,10.99
1708513081.72,10.87647247,106.8016663,-0.72,-0.74,11.29
1708513081.79,10.87647247,106.8016663,-0.67,0.07,9.69
1708513081.88,10.87649727,106.8016586,-0.57,-0.46,10.62
1708513082.31,10.87649727,106.8016586,-1.29,-0.19,10.46
1708513082.43,10.87649727,106.8016586,0.3,0.45,11.47
1708513082.55,10.87649727,106.8016586,-0.19,0.64,10.73
1708513082.64,10.87649727,106.8016586,-1.52,0.38,11.07
1708513082.72,10.87649727,106.8016586,-0.9,-0.05,10.69
