time,timestamp,Latitude,Longitude,ax,ay,az,v,s,Vh
2/21/2024 17:50:29.24,1708512629.24,10.87347698,106.8018188,-1.16,-0.14,10.48,0.0,0.0,0.0670718720703735
2/21/2024 17:50:29.32,1708512629.32,10.87347698,106.8018188,-0.25,-0.14,9.64,0.0,0.0,0.5099560845794713
2/21/2024 17:50:29.55,1708512629.55,10.87347698,106.8018188,0.22,-0.19,9.57,0.0,0.0,0.07751726284812321
2/21/2024 17:50:29.64,1708512629.64,10.87347698,106.8018188,0.21,-0.14,9.37,0.0,0.0,0.05996788562017172
2/21/2024 17:50:29.72,1708512629.72,10.87347698,106.8018188,-0.48,-0.21,9.91,0.0,0.0,0.06342387902837798
2/21/2024 17:50:29.80,1708512629.8,10.87347698,106.8018188,-1.51,-0.12,10.9,0.0,0.0,2.1102405488586786
2/21/2024 17:50:30.24,1708512630.24,10.87347698,106.8018188,0.46,-0.33,9.74,0.0,0.0,0.07889384952170872
2/21/2024 17:50:30.33,1708512630.33,10.87347698,106.8018188,0.18,-0.44,9.61,0.0,0.0,0.5535360439910897
2/21/2024 17:50:30.57,1708512630.57,10.87347698,106.8018188,0.4,-0.34,9.79,0.0,0.0,0.047971235279371735
2/21/2024 17:50:30.64,1708512630.64,10.87347698,106.8018188,0.52,-0.28,9.89,0.0,0.0,0.06329587927251851
2/21/2024 17:50:30.72,1708512630.72,10.87347698,106.8018188,0.66,-0.33,9.84,0.0,0.0,0.07970384797675706
2/21/2024 17:50:30.81,1708512630.81,10.87347698,106.8018188,-0.53,-0.44,9.73,0.0,0.0,1.79907755861096
2/21/2024 17:50:31.24,1708512631.24,10.87347698,106.8018188,-1.47,-0.19,10.15,0.0,0.0,0.0649598760986919
2/21/2024 17:50:31.32,1708512631.32,10.87347698,106.8018188,-0.88,-0.23,10.64,0.0,0.0,0.6128640487060557
2/21/2024 17:50:31.56,1708512631.56,10.87347698,106.8018188,0.28,-0.36,9.72,0.0,0.0,0.06220825213648596
2/21/2024 17:50:31.64,1708512631.64,10.87347698,106.8018188,-1.16,-0.15,10.12,0.0,0.0,0.06476787646490265
2/21/2024 17:50:31.72,1708512631.72,10.87347698,106.8018188,0.63,-0.11,9.81,0.0,0.0,0.06278388024908055
2/21/2024 17:50:31.80,1708512631.8,10.87347698,106.8018188,-1.51,-0.07,10.23,1.1342151630981987,0.9420287079112036,1.8915275873165587
2/21/2024 17:50:32.23,1708512632.23,10.8734808,106.8018265,0.49,0.3,10.2,0.0,0.0,0.08261984241493109
2/21/2024 17:50:32.32,1708512632.32,10.8734808,106.8018265,0.35,-0.38,9.64,0.0,0.0,0.27859625006109134
2/21/2024 17:50:32.49,1708512632.49,10.8734808,106.8018265,-1.69,-0.81,9.59,0.0,0.0,0.06137588293462613
2/21/2024 17:50:32.57,1708512632.57,10.8734808,106.8018265,0.66,0.05,9.98,0.0,0.0,0.06387225888087755
2/21/2024 17:50:32.65,1708512632.65,10.8734808,106.8018265,-1.27,0.09,10.3,0.0,0.0,0.08342984086997944
2/21/2024 17:50:32.74,1708512632.74,10.8734808,106.8018265,0.81,0.0,10.42,3.7400741317771558,1.0596876508545683,2.71024189863968
2/21/2024 17:50:33.25,1708512633.25,10.87349033,106.8018265,-0.73,-0.48,10.07,0.0,0.0,0.06444787707525394
2/21/2024 17:50:33.33,1708512633.33,10.87349033,106.8018265,-0.27,-0.14,10.11,0.0,0.0,0.29217926225286645
2/21/2024 17:50:33.50,1708512633.5,10.87349033,106.8018265,-0.63,-0.17,9.84,0.0,0.0,0.06297587988286978
2/21/2024 17:50:33.58,1708512633.58,10.87349033,106.8018265,0.04,-0.12,9.82,0.0,0.0,0.06284825473048272
2/21/2024 17:50:33.66,1708512633.66,10.87349033,106.8018265,-0.31,0.11,10.45,0.0,0.0,0.06687987243658428
2/21/2024 17:50:33.74,1708512633.74,10.87349033,106.8018265,-0.53,-0.05,9.81,4.676994681520249,1.273181910304566,2.3553810916843427
2/21/2024 17:50:34.23,1708512634.23,10.87350178,106.8018265,-0.02,-0.48,9.91,0.0,0.0,0.0802708468952909
2/21/2024 17:50:34.32,1708512634.32,10.87350178,106.8018265,-0.6,0.24,10.12,0.0,0.0,0.3278882432098839
2/21/2024 17:50:34.50,1708512634.5,10.87350178,106.8018265,0.7,0.33,10.4,0.0,0.0,0.06655987304693554
2/21/2024 17:50:34.58,1708512634.58,10.87350178,106.8018265,-0.76,-0.1,10.28,0.0,0.0,0.06579226666286785
2/21/2024 17:50:34.66,1708512634.66,10.87350178,106.8018265,0.26,0.01,10.37,0.0,0.0,0.05081290308194013
2/21/2024 17:50:34.73,1708512634.73,10.87350178,106.8018265,-0.03,-0.39,9.84,7.3593589177914644,2.085151654382962,2.6607358048095735
